# DFA                   WTMAD    P30-5   P30-10   P30-20
# DHDF
B2PLYP                   3.89     6.21     7.59    20.39
B2GPPLYP                 3.26     6.60     7.32    12.00
MPW2PLYP                 4.07     7.25     8.52    26.88
PWPB95                   4.01     7.19     9.30    10.50
DSD-BLYP                 3.08     5.82     6.41    10.25
DSD-PBEP86               3.17     6.04     6.36     8.89
DSD-PBEB95               3.51     6.54     7.47     9.78
# Hybrid
B3LYP                    6.39    11.94    13.48    31.73
B3LYP-NL                 6.39    11.49    13.96    30.73
B3PW91                   6.75    11.68    14.07    20.87
B3P86                    7.25    12.39    14.14    19.42
BHLYP                    5.64    29.14    22.51    37.97
B1P86                    6.81    11.72    13.47    19.15
B1LYP                    6.70    13.38    14.98    20.84
B1B95                    6.78    11.68    14.86    31.45
MPW1B95                  5.56    10.04    12.90    20.57
PW6B95                   5.51    11.00    12.79    14.15
MPWB1K                   5.60    15.26    15.04    21.29
mPW1LYP                  7.45    13.01    15.03    46.04
mPW1PW91                 6.35    11.45    13.80    20.23
PW1PW                    7.20    10.50    12.58    18.08
MPW1KCIS                 8.69    18.62    21.35    58.52
MPWKCIS1K                6.49    16.57    17.32    35.93
PBE0                     6.59    11.75    12.97    19.70
PBEh1PBE                 8.00    11.52    14.83    28.19
PBE1KCIS                 8.11    14.92    17.57    39.61
X3LYP                    7.27    10.76    13.21    21.79
O3LYP                   10.77    24.28    24.67    49.31
B97-1                    7.32    11.40    14.32    18.55
B97-2                    7.67    14.29    17.96    64.66
B98                      7.20    10.44    13.77    22.02
HISS                     7.57    13.91    14.79    28.66
HSE03                    8.24    11.43    14.81    26.64
HSE06                    6.85    11.02    13.19    18.72
TPSSh                    7.56    12.58    15.41    27.56
revTPSSh                 7.48    13.36    16.19    30.44
TPSS0                    6.19    17.08    16.34    23.37
revTPSS0                 6.31    18.04    17.51    27.19
TPSS1KCIS                8.69    14.15    18.32    37.58
BMK                      8.01     8.76    11.12    33.84
tHCTHhyb                 8.44    12.51    16.14    27.82
M05                      7.19    10.92    12.71    17.70
M052X                    4.62    11.15    10.72    25.59
M06                      6.37    10.95    12.04    38.72
M062X                    4.92    10.53     9.99    16.51
M08HX                    5.26     8.87     9.12    20.83
M11                      6.40    10.34    10.80    23.39
SOGGA11X                 6.74    11.56    13.60    15.87
N12SX                    7.71    10.26    13.79    28.23
MN12SX                   7.19     8.85    10.65    11.43
MN15                     5.78     7.66     9.46    19.88
LC-whPBE                 5.46    10.67    11.09    22.75
wB97X-V                  3.93     9.46    10.22    38.07
APFD                     7.00    11.30    13.06    19.21
# MGGA
PKZB                    11.16    20.62    23.45    42.33
TPSS                     9.12    16.94    19.59    29.72
revTPSS                  8.46    17.11    19.56    38.48
SCAN                     7.97    14.58    16.34    19.96
M06L                     8.58    13.63    15.75    54.69
M11L                     9.60    11.41    14.12    46.70
MN12L                   10.84     8.80    11.09    19.08
MN15L                   11.52     8.09     9.64    23.07
# GGA
PBE                     10.41    26.74    26.00    31.06
PBEhPBE                 11.99    26.49    27.34    39.17
revPBE                   8.30    20.63    22.33    34.37
RPBE                    10.40    23.41    26.21    61.40
PW91                    11.19    26.08    25.34    26.59
BP86                    10.90    24.63    24.60    30.91
BPBE                    10.11    23.25    24.04    35.91
OPBE                    11.06    24.43    25.58    63.54
OLYP                     8.75    21.72    23.24    37.72
XLYP                    11.29    22.03    25.02    36.22
mPWLYP                  10.67    21.79    23.12    44.59
PW91P86                 13.41    28.47    27.04    24.71
mPWPW91                 10.19    24.76    25.33    33.81
rPW86PBE                 9.70    21.26    22.28    32.01
HCTH                    13.03    23.20    26.16    88.76
N12                      9.91    16.02    19.91    33.10
VV10                     9.94    22.65    23.09    27.52
